Original Link,Resolved CID
Central_Queensland,bafkreighzs6zlv2ao2l64g2mgijibyns2sdwmcou5uzhaiqk3phlkijmpu
Keweenaw_Peninsula,bafkreiak6f5srvhl7vcamrg4hf4yxu37bqnwtun7pm3d5fofmyuz5mwaxi
Gulf_of_Venezuela,bafkreibb43owfn4zeouiamwzj2zqztd6ztn6npc2wszlsdq7w5ibhr7ehm
African_Commission_on_Human_and_Peoples'_Rights,bafkreibvbto7zsm355m3eg5c2pqsgjnxgyoaz56gzebzfpd45pgqcrvmtq
Libreville,bafkreigrsqhwo7w6et5wpgayu7fxwsnvwalab7oquibyp2ujkp4eixlzwu
Elaeis_guineensis,bafkreif2fadgigvicicqcuqgoc7esmnddrp46uvjjdchpzabc3ks7vwmpy
Sonni_Ali,bafkreihhw7zczf5hzetm6l3xd7exc45udmkcqgo4s65xy3jmgckeobifny
Banks_Peninsula_(Nunavut),bafkreifkjvlfh5bnwc5l5rnve37cleo5dk4zbzagv4uxsha4l5f27yzxl4
Camotes_Sea,bafkreiabamnnowapofohscvsiuip663oqr24gm3tmndhjjo3msjd65sx3i
Australian_rules_football_in_Africa,bafkreie2n2gv6r5wcmu7corqi5cojq5pcgoq7scsnab2swa5zqv4sry7pa
Arid,bafkreiflmvdmjvjtjel7v3z6swxj5dbhhda6n66bjk3sjcgbph3f44ubpe
Casablanca,bafkreif7yekxiz7bxz46uuweuz7adekoqpuzbequyly454icejpp5gyzvy
Malta,bafybeihd2jdprbegwqbrqbxnmnirdai423evrj62nvnpl2lsulrhj7zjpe
Sea_of_Crete,bafkreifxqqqg3l36ekbhj5yt2kzckn4u7nxxemua3m4vg7e2amdejwit2i
